directory,file_name,variable_name,variable_type,description
data,portawaterperu.rda,name,character,Name of the community water system
data,portawaterperu.rda,ID,numeric,ID of the water system
data,portawaterperu.rda,div,character,Geographical division of the community
data,portawaterperu.rda,lat,numeric,Latitude of the community
data,portawaterperu.rda,long,numeric,Longitude of the community
data,portawaterperu.rda,alt,numeric,Altitude of the community
data,portawaterperu.rda,year,numeric,Year of data collection about communities. (Use in caution)
data,portawaterperu.rda,community,character,Community name
data,portawaterperu.rda,service_provider,character,Service provider (PSE stands for Prestador de servicio)
data,portawaterperu.rda,pop_serviced,numeric,Population served
data,portawaterperu.rda,hh_serviced,numeric,Household served
data,portawaterperu.rda,type_gravity,logical,Is the community served by a gravity water supply system?
data,portawaterperu.rda,type_pump,logical,Is the community served by a pumped water supply system?
data,portawaterperu.rda,type_well,logical,Is the community served by a well/hand pump water supply system?
data,portawaterperu.rda,type_rain,logical,Is the community served by a rainwater harvesting water supply system?
data,portawaterperu.rda,water_dry_season,logical,Are there adequate water resources (at the source) to meet demand in dry season?
data,portawaterperu.rda,water_rain_season,logical,Are there adequate water resources (at the source) to meet demand in rainy season?
data,portawaterperu.rda,source_id,numeric,ID of the water source
data,portawaterperu.rda,source_type,factor,"Type of the water source, options including (1) lake, (2) river, (3) dug well, and (4) drilled well."
data,portawaterperu.rda,source_lat,numeric,Latitude of the water source
data,portawaterperu.rda,source_long,numeric,Longitude of the water source
data,portawaterperu.rda,source_alt,numeric,Altitude of the water source
data,portawaterperu.rda,catch_macromeasure,character,Macro measurement of catchment
data,portawaterperu.rda,catch_status,factor,"Status of the catchment, options including (1) A: good, (2) B: fair, (3) C: poor, and (4) D: Inoperable."
data,portawaterperu.rda,maintenance_date,"c(""POSIXct"", ""POSIXt"")",Date of the maintainance data collection
data,portawaterperu.rda,catch_abcd,factor,"Status of catchment at maintainance, options including (1) A: good, (2) B: fair, (3) C: poor, and (4) D: Inoperable."
data,portawaterperu.rda,cond_abcd,factor,"Status of condition at maintainance, options including (1) A: good, (2) B: fair, (3) C: poor, and (4) D: Inoperable."
data,portawaterperu.rda,treat_type,factor,"Type of treatment, options including (1) desinfection with chlorine and (2) slow filtration."
data,portawaterperu.rda,treat_abcd,factor,"Status of treatment at maintainance, options including (1) A: good, (2) B: fair, (3) C: poor, and (4) D: Inoperable."
data,portawaterperu.rda,storage_abcd,factor,"Status of the storage system at maintainance, options including (1) A: good, (2) B: fair, (3) C: poor, and (4) D: Inoperable."
data,portawaterperu.rda,dist_abcd,factor,"Status of the distribution network at maintainance, options including (1) A: good, (2) B: fair, (3) C: poor, and (4) D: Inoperable."
data,portawaterperu.rda,flow,numeric,"Flow rate, check unit with column"
data,portawaterperu.rda,flow_unit,character,Unit of flow rate
data,portawaterperu.rda,chlorine_res,numeric,Chlorine residual
data,portawaterperu.rda,chlorine_res_unit,character,Unit of chlorine residual
data,portawaterperu.rda,treatment_ID,numeric,ID of the treatment
data,portawaterperu.rda,treatment_type,factor,Type of the treatment
data,portawaterperu.rda,treatment_function,logical,Is treatment functional?
data,portawaterperu.rda,treatment_lat,numeric,Latitude of the water treatment
data,portawaterperu.rda,treatment_long,numeric,Longitude of the water treatment
data,portawaterperu.rda,treatment_alt,numeric,Altitude of the water treatment
data,portawaterperu.rda,storage_ID,numeric,ID of the water storage infrastructure.
data,portawaterperu.rda,storage_clean_unit,character,Unit of cleaning frequency of the storage system
data,portawaterperu.rda,storage_lat,numeric,Latitude of the water storage infrastructure.
data,portawaterperu.rda,storage_long,numeric,Longitude of the water storage infrastructure.
data,portawaterperu.rda,storage_alt,numeric,Altitude of the water storage infrastructure.
data,portawaterperu.rda,storage_status,factor,"Status of the water storage infrastructure, options including (1) A: good, (2) B: fair, (3) C: poor, and (4) D: Inoperable."
data,portawaterperu.rda,dist_ID,numeric,ID of the distribution system
data,portawaterperu.rda,dist_hour,numeric,Hours of service per day
data,portawaterperu.rda,dist_connection,numeric,Number of distribution network connections
data,portawaterperu.rda,dist_status,character,"Status of the distribution system, options including (1) A: good, (2) B: fair, (3) C: poor, and (4) D: Inoperable."
